container_id,key,value
1,base_uri,/Volumes/impulse_demo/default/mdf4/experiment_4
1,brand,Seat
1,condition,Normal
1,experiment_id,experiment_4
1,file_uri,/Volumes/impulse_demo/default/mdf4/experiment_4/2018-02-26_Seat_Leon_RT_KA_Normal.mf4
1,filename,2018-02-26_Seat_Leon_RT_KA_Normal.mf4
1,filesize_mb,6.922584533691406
1,from_city,RT
1,model,Leon
1,to_city,KA
1,vehicle_key,Seat_Leon
2,base_uri,/Volumes/impulse_demo/default/mdf4/experiment_4
2,brand,Seat
2,condition,Normal
2,experiment_id,experiment_4
2,file_uri,/Volumes/impulse_demo/default/mdf4/experiment_4/2018-02-27_Seat_Leon_KA_RT_Normal.mf4
2,filename,2018-02-27_Seat_Leon_KA_RT_Normal.mf4
2,filesize_mb,6.1450347900390625
2,from_city,KA
2,model,Leon
2,to_city,RT
2,vehicle_key,Seat_Leon
3,base_uri,/Volumes/impulse_demo/default/mdf4/experiment_4
3,brand,Seat
3,condition,Normal
3,experiment_id,experiment_4
3,file_uri,/Volumes/impulse_demo/default/mdf4/experiment_4/2018-03-01_Seat_Leon_S_RT_Normal.mf4
3,filename,2018-03-01_Seat_Leon_S_RT_Normal.mf4
3,filesize_mb,5.855140686035156
3,from_city,S
3,model,Leon
3,to_city,RT
3,vehicle_key,Seat_Leon
